"X","Brand","Name","Sticker","Year","KM","Fuel","CV","Transmission","One_owner","Location","Length","Width","Height","Weight","Trunk","Tank","Vmax","X0to100","Consumption","Emissions","Keys_num","Extras_num","Price","Antiguitat","Ratio_Pot_Pes","Tram_KM","Preu_per_CV","Depreciacio_Anual","Preu_per_KM"
42,"Ford","Ford Fiesta","C",2022,25691,"Gasolina",200,"MANUAL","True","Sevilla",4.09,1.74,1.49,1280,1093,"-",230,6.5,6.4,151,2,5,27990,3,0.15625,"20k-50k",139.95,9330,1.08948659063485
43,"Toyota","Toyota Yaris Cross","ECO",2022,25445,"Híbrido",116,"AUTO","True","Madrid",4.18,1.77,1.6,1245,1097,"-",170,11.2,5,112,2,5,23700,3,0.0931726907630522,"20k-50k",204.310344827586,7900,0.93142071133818
44,"Peugeot","Peugeot 308","C",2020,81785,"Gasolina",130,"AUTO","False","Madrid",4.25,1.8,1.46,1279,1309,"-",205,5.9,134,NA,2,5,15990,5,0.101641907740422,"50k-100k",123,3198,0.195512624564407
45,"Renault","Renault Kangoo Combi","C",2018,56472,"Diésel",90,"MANUAL","False","Sevilla",4.28,1.83,1.84,1320,NA,"-",160,4.3,112,NA,1,5,15800,7,0.0681818181818182,"50k-100k",175.555555555556,2257.14285714286,0.279784672049865
46,"Mazda","Mazda CX-5","C",2015,130612,"Diésel",150,"MANUAL","False","Barcelona",4.56,1.84,1.71,1495,1620,"-",202,9.2,4.6,119,2,5,14400,10,0.100334448160535,"100k-200k",96,1440,0.110250206719138
47,"Renault","Renault Captur","C",2021,60867,"Gasolina",130,"MANUAL","True","Madrid",4.23,1.8,1.58,1234,1275,"-",195,10.6,5.4,131,2,5,20300,4,0.105348460291734,"50k-100k",156.153846153846,5075,0.333514055235185
48,"Mercedes","Mercedes Clase A","C",2019,89875,"Gasolina",190,"AUTO","False","Vizcaya",4.42,1.8,1.45,1450,1210,"-",240,6.9,6.2,141,1,5,29450,6,0.131034482758621,"50k-100k",155,4908.33333333333,0.327677329624478
49,"Seat","Seat León","C",2013,120024,"Gasolina",122,"MANUAL","True","Valencia",4.27,1.78,1.44,1224,NA,"-",202,9.3,5.2,120,2,5,11990,12,0.0996732026143791,"100k-200k",98.2786885245902,999.166666666667,0.0998966873292008
50,"Peugeot","Peugeot Partner","C",2016,124092,"Diésel",100,"MANUAL","False","Castellón",4.38,1.86,1.86,1320,NA,"-",166,4.3,113,NA,2,5,12800,9,0.0757575757575758,"100k-200k",128,1422.22222222222,0.103149276343358
51,"Peugeot","Peugeot 208","C",2018,110323,"Gasolina",82,"MANUAL","True","Madrid",3.97,1.74,1.46,1040,1076,"-",175,12.2,4.5,109,2,5,8200,7,0.0788461538461538,"100k-200k",100,1171.42857142857,0.0743272028498137
52,"KIA","KIA Sportage","ECO",2019,72031,"Híbrido",136,"AUTO","False","Zaragoza",4.5,1.86,1.65,1605,1480,"-",180,11.8,4.2,117,2,5,25800,6,0.0847352024922118,"50k-100k",189.705882352941,4300,0.358179117324485
53,"Audi","Audi A3","ECO",2022,18541,"Híbrido",150,"AUTO","True","Valencia",4.5,1.82,1.43,1395,NA,"-",232,8.4,5.8,111,2,5,34800,3,0.10752688172043,"0-20k",232,11600,1.87692141739928
54,"Ford","Ford Fiesta","C",2014,125852,"Gasolina",100,"MANUAL","True","Barcelona",3.97,1.72,1.5,1101,974,"-",180,11.2,4.3,105,2,5,10200,11,0.0908265213442325,"100k-200k",102,927.272727272727,0.0810475796967867
55,"Mercedes","Mercedes Clase A","B",2014,147880,"Diésel",109,"AUTO","False","Madrid",4.29,1.78,1.43,1395,1157,"-",190,11.3,3.8,98,2,5,14990,11,0.0781362007168459,"100k-200k",137.522935779817,1362.72727272727,0.101365972410062
56,"Ford","Ford Focus","C",2018,97697,"Gasolina",125,"MANUAL","False","Madrid",4.38,1.83,1.45,1322,1320,"-",199,10,4.9,111,2,5,14990,7,0.094553706505295,"50k-100k",119.92,2141.42857142857,0.153433575237725
57,"Dacia","Dacia Duster","C",2016,103511,"Diésel",109,"MANUAL","False","Oviedo",4.32,1.82,1.7,1280,1636,"-",169,11.8,4.4,115,2,5,12990,9,0.08515625,"100k-200k",119.174311926605,1443.33333333333,0.125493908859928
58,"Volvo","Volvo V40","C",2018,98669,"Diésel",150,"AUTO","False","Madrid",4.37,1.8,1.44,1577,1032,"-",210,8.4,4.1,104,2,5,15082,7,0.0951173113506658,"50k-100k",100.546666666667,2154.57142857143,0.152854493305902
59,"Mazda","Mazda CX-30","ECO",2023,18878,"Híbrido",150,"MANUAL","False","Madrid",4.39,1.8,1.54,1320,1406,"-",198,8.8,5.9,134,2,5,26900,2,0.113636363636364,"0-20k",179.333333333333,13450,1.42493908252993
60,"Mini","Mini MINI","C",2015,161767,"Gasolina",136,"AUTO","False","Barcelona",3.82,1.73,1.42,1190,731,"-",210,7.8,4.7,109,2,5,12990,10,0.114285714285714,"100k-200k",95.5147058823529,1299,0.0803006793721835
61,"Audi","Audi A3","C",2018,101352,"Gasolina",150,"AUTO","False","Madrid",4.46,1.8,1.42,1325,NA,"-",224,8.2,5,113,2,5,21990,7,0.113207547169811,"100k-200k",146.6,3141.42857142857,0.216966611413687
62,"Suzuki","Suzuki Jimny","C",2012,95169,"Gasolina",85,"MANUAL","False","Valencia",3.67,1.6,1.75,1070,816,"-",140,14.1,7.1,162,2,4,13250,13,0.0794392523364486,"50k-100k",155.882352941176,1019.23076923077,0.139226008469144
63,"Seat","Seat Alhambra","C",2019,69680,"Diésel",150,"MANUAL","False","Valencia",4.85,1.9,1.72,1772,2430,"-",200,10.3,5,130,2,5,22900,6,0.0846501128668172,"50k-100k",152.666666666667,3816.66666666667,0.328645235361653
